video_id,title,description,channel_title,tags_api_raw,views,views_per_hour,from_shorts,duration_sec,published_at,category_id,category_name,hashtags_extracted,tags_common,tags_only_api,tags_only_hash
y_EB4KWErd4,Проверка смелости с механической собакой 🐕,,FilmBytes,[],3109297,31318.843770935193,1,21,2025-11-09T09:13:07Z,15,Pets & Animals,[],[],[],[]
kRJiWrQINDM,Вот что никто не говорит о лысых кошках #shorts,,Гохисыч,[],4349216,30223.139446921665,1,28,2025-11-07T12:35:38Z,15,Pets & Animals,"[""shorts""]",[],[],"[""shorts""]"
SAIhi54_9l8,twitch.tv/neonpsh - розыгрыши и турниры каждый месяц!,"twitch.tv/neonpsh - каждый месяц проходят розыгрыши и турики!
Вся инфа в тг - t.me/+zPeeopisMbpiMTky

#кот #кошка #котик #животные #приколы #смешно #шортс #ютубшортс #funnycat #cuteanimals #pets #мимими #угар #shorts #вирусное",NeonPsh,"[""кот"", ""кошка"", ""котик"", ""котята"", ""милый кот"", ""смешной кот"", ""приколы с котами"", ""животные"", ""питомцы"", ""коты"", ""шортс"", ""ютуб шортс"", ""короткое видео"", ""funny cat"", ""cute cat"", ""funny animals"", ""pets"", ""animals"", ""милые животные"", ""приколы"", ""юмор"", ""смешно"", ""котенок"", ""кошечки"", ""мимими"", ""ржака"", ""угар"", ""коты 2025"", ""кот шортс"", ""котенок играет"", ""кот и человек"", ""любимец"", ""питомец"", ""короткие видео"", ""топ шортс"", ""видео про котов"", ""тренды"", ""котики рулят"", ""смешное видео"", ""позитив"", ""животные приколы"", ""meme cat"", ""viral video""]",1281114,27562.091763301556,1,21,2025-11-11T14:00:59Z,15,Pets & Animals,"[""приколы"", ""угар"", ""shorts"", ""кошка"", ""funnycat"", ""кот"", ""мимими"", ""ютубшортс"", ""вирусное"", ""животные"", ""котик"", ""cuteanimals"", ""pets"", ""смешно"", ""шортс""]","[""pets"", ""животные"", ""кот"", ""котик"", ""кошка"", ""мимими"", ""приколы"", ""смешно"", ""угар"", ""шортс""]","[""animals"", ""cute cat"", ""funny animals"", ""funny cat"", ""meme cat"", ""viral video"", ""видео про котов"", ""животные приколы"", ""короткие видео"", ""короткое видео"", ""кот и человек"", ""кот шортс"", ""котенок"", ""котенок играет"", ""котики рулят"", ""коты"", ""коты 2025"", ""котята"", ""кошечки"", ""любимец"", ""милые животные"", ""милый кот"", ""питомец"", ""питомцы"", ""позитив"", ""приколы с котами"", ""ржака"", ""смешное видео"", ""смешной кот"", ""топ шортс"", ""тренды"", ""юмор"", ""ютуб шортс""]","[""cuteanimals"", ""funnycat"", ""shorts"", ""вирусное"", ""ютубшортс""]"
dHIDHcJ3wkw,КОТИКА СПАСЛИ ОТ НАВОДНЕНИЯ,,Whimsy Wonders,[],11041887,38440.5971892688,1,15,2025-11-01T13:15:07Z,15,Pets & Animals,[],[],[],[]
GLe66yIgd9k,Опоссумы ч2 #юмор #милота #мило #опоссум #животные #смешно #смех #shortvideo #shorts #short #video,"Подержать автора можно через бусти https://boosty.to/newsbizaro/donate
U Money 5599 0021 2376 0078",News Bizaro,[],1275928,15467.165991016085,1,10,2025-11-10T02:00:17Z,15,Pets & Animals,"[""смех"", ""shorts"", ""shortvideo"", ""юмор"", ""short"", ""опоссум"", ""мило"", ""милота"", ""животные"", ""смешно"", ""video""]",[],[],"[""short"", ""shorts"", ""shortvideo"", ""video"", ""животные"", ""мило"", ""милота"", ""опоссум"", ""смех"", ""смешно"", ""юмор""]"
RzFJezsNKlI,Сразу видно кто в семье главный!,,filmsserials,[],1431148,20049.576755800168,1,11,2025-11-10T13:07:01Z,15,Pets & Animals,[],[],[],[]
QtfluyfIwx8,🐕 Dad Doberman Saves Baby👶💞,"In this adorable real-life scene 🎥, a baby 👶 lies on its tummy on a colorful playmat inside a modern living room. A tiny Doberman puppy 🐾 approaches, barking and yapping excitedly — “Yap! Yap!”

The playful puppy gets too close, placing its paws near the baby’s face, when suddenly, the dad Doberman 🐕‍🦺 — calm and confident — stands up, walks over, and picks the puppy up gently by the scruff! With fatherly authority, he carries the noisy pup away while the baby watches, wide-eyed and amazed 😲💞.

This wholesome video captures pure family instinct — a protective father teaching his puppy manners while keeping the baby safe and calm. It’s a heartwarming moment that shows just how smart and caring dogs can be! ❤️🐶

🎥 Watch till the end for:

Adorable puppy behavior 🐾

Fatherly Doberman instincts 💪🐕

Baby’s cute reaction 👶😂

👉 LIKE ❤️ | COMMENT 💬 your thoughts | SUBSCRIBE 🔔 for more funny and heartwarming pet moments!

#doberman #dadandpuppy #puppyandbaby #protectivedog #funnydogvideo #cuteanimals #dogbehavior #animalfamily #doglover #adorabledogs #babydogbond #puppylesson #heartwarmingvideos #trendingvideo #shortviral #shorts #catshorts #shortviral #shorts #catshorts #viralshorts #viralvideo #SHORTS #shortsyoutube #asmr #ai #real #OddlySatisfying #ASMRChallenge #FakeOrReal #SoSatisfying #Algorithm #PawPawAlgorithm #SatisfyingShorts #india #stressrelief #relaxing #भारत #एएसएमआर #मज़ेदार #संतोषजनक #हिंदी #Bhaarat #Pyara #Mazedar #Hindi #asmrindonesia #Relaksasi #relaxingvideo #satisfyingvideo #satisfatório #somrelaxante #AlivioDoEstresse #asmrbrasil #bata #nakakatawa #vuilạ #リラックス #面白い #癒し#바이럴쇼츠 #바이럴비디오 #쇼츠 #ASMR #알고리즘 #이상하게만족스러운 #ASMR챌린지 #진짜아니면가짜 #너무만족스러운 #만족스러운쇼츠 #스트레스해소 #편안한 #휴식영상 #만족영상 #편안한소리 #스트레스완화 #인도 #힌디어 #인도네시아ASMR #브라질ASMR #일본 #재미있는 #포포알고리즘 #porcupine #porcupines #豪豬 #ヤマアラシ #호저 #landak #เม่น #paluput #puercoespín #ouriço #nhím #hyena #hyenas #鬣狗 #ハイエナ #하이에나 #beruang #หมาใน #hayena #hiena #hiena #linhcaou
#rabbit #rabbits #bunny #bunnies #兔子 #ウサギ #토끼 #kelinci #กระต่าย #kuneho #conejo #coelho #thỏ #rescue #救援 #救助 #救い #구조 #penyelamatan #pertolongan #cứu hộ #pagsagip #बचाव #bacav #rescate #resgatar #rettung #Meat #肉 #にく #고기 #daging #เนื้อ #karne #maas #thịt #carne #carneDeAnimal #danger #危險 #危険 #위험 #khatra #bahaya #nguyhiem #panganib #perigo #peligro #อันตราย #捕捉 #Catch #捕まえる #잡다 #menangkap #pagkuha #पकड़ना #atrapar #capturar #bắtGiữ",Puppy Kitty Baby,"[""doberman dad"", ""puppy and baby"", ""dad dog saves baby"", ""father dog"", ""doberman family"", ""puppy carried away"", ""cute dog behavior"", ""funny puppy video"", ""protective dad dog"", ""adorable animals"", ""baby and dog moment"", ""dog parenting"", ""pet videos"", ""family pets""]",23493536,115812.10511574896,1,16,2025-11-05T01:38:18Z,15,Pets & Animals,"[""ouri"", ""pagkuha"", ""nguyhiem"", ""hindi"", ""bahaya"", ""beruang"", ""rettung"", ""ai"", ""hayena"", ""protectivedog"", ""shortsyoutube"", ""pawpawalgorithm"", ""khatra"", ""oddlysatisfying"", ""animalfamily"", ""india"", ""coelho"", ""paluput"", ""carnedeanimal"", ""cuteanimals"", ""rescue"", ""bata"", ""karne"", ""satisfyingshorts"", ""landak"", ""pyara"", ""sosatisfying"", ""shorts"", ""meat"", ""mazedar"", ""capturar"", ""puercoesp"", ""dogbehavior"", ""nh"", ""penyelamatan"", ""daging"", ""resgatar"", ""relaxingvideo"", ""dadandpuppy"", ""linhcaou"", ""viralshorts"", ""doglover"", ""puppyandbaby"", ""b"", ""kuneho"", ""viralvideo"", ""relaksasi"", ""atrapar"", ""adorabledogs"", ""carne"", ""nakakatawa"", ""somrelaxante"", ""rabbits"", ""hiena"", ""bhaarat"", ""vuil"", ""hyenas"", ""puppylesson"", ""heartwarmingvideos"", ""asmr"", ""conejo"", ""th"", ""funnydogvideo"", ""satisfyingvideo"", ""bunnies"", ""relaxing"", ""panganib"", ""hyena"", ""pagsagip"", ""asmrchallenge"", ""asmrbrasil"", ""satisfat"", ""catch"", ""maas"", ""doberman"", ""real"", ""aliviodoestresse"", ""c"", ""rescate"", ""menangkap"", ""catshorts"", ""algorithm"", ""stressrelief"", ""fakeorreal"", ""danger"", ""bacav"", ""bunny"", ""pertolongan"", ""shortviral"", ""porcupines"", ""peligro"", ""porcupine"", ""perigo"", ""asmrindonesia"", ""trendingvideo"", ""babydogbond"", ""rabbit"", ""kelinci""]",[],"[""adorable animals"", ""baby and dog moment"", ""cute dog behavior"", ""dad dog saves baby"", ""doberman dad"", ""doberman family"", ""dog parenting"", ""family pets"", ""father dog"", ""funny puppy video"", ""pet videos"", ""protective dad dog"", ""puppy and baby"", ""puppy carried away""]","[""adorabledogs"", ""ai"", ""algorithm"", ""aliviodoestresse"", ""animalfamily"", ""asmr"", ""asmrbrasil"", ""asmrchallenge"", ""asmrindonesia"", ""atrapar"", ""b"", ""babydogbond"", ""bacav"", ""bahaya"", ""bata"", ""beruang"", ""bhaarat"", ""bunnies"", ""bunny"", ""c"", ""capturar"", ""carne"", ""carnedeanimal"", ""catch"", ""catshorts"", ""coelho"", ""conejo"", ""cuteanimals"", ""dadandpuppy"", ""daging"", ""danger"", ""doberman"", ""dogbehavior"", ""doglover"", ""fakeorreal"", ""funnydogvideo"", ""hayena"", ""heartwarmingvideos"", ""hiena"", ""hindi"", ""hyena"", ""hyenas"", ""india"", ""karne"", ""kelinci"", ""khatra"", ""kuneho"", ""landak"", ""linhcaou"", ""maas"", ""mazedar"", ""meat"", ""menangkap"", ""nakakatawa"", ""nguyhiem"", ""nh"", ""oddlysatisfying"", ""ouri"", ""pagkuha"", ""pagsagip"", ""paluput"", ""panganib"", ""pawpawalgorithm"", ""peligro"", ""penyelamatan"", ""perigo"", ""pertolongan"", ""porcupine"", ""porcupines"", ""protectivedog"", ""puercoesp"", ""puppyandbaby"", ""puppylesson"", ""pyara"", ""rabbit"", ""rabbits"", ""real"", ""relaksasi"", ""relaxing"", ""relaxingvideo"", ""rescate"", ""rescue"", ""resgatar"", ""rettung"", ""satisfat"", ""satisfyingshorts"", ""satisfyingvideo"", ""shorts"", ""shortsyoutube"", ""shortviral"", ""somrelaxante"", ""sosatisfying"", ""stressrelief"", ""th"", ""trendingvideo"", ""viralshorts"", ""viralvideo"", ""vuil""]"
16vDQFbLsPg,Как собака превратила балкон в достопримечательность,В каждом городе должна быть своя Буба,i11ushenka,[],1112021,43615.00751385638,1,34,2025-11-12T11:00:04Z,15,Pets & Animals,[],[],[],[]
2amohgiMheI,Kitten waited too long for this funny 🤣 🐱,"Kitten waited for it to come out funny
#animalshorts #catshorts #cat",MrFurReal,[],58245225,267552.67287013767,1,10,2025-11-04T10:48:04Z,15,Pets & Animals,"[""catshorts"", ""cat"", ""animalshorts""]",[],[],"[""animalshorts"", ""cat"", ""catshorts""]"
7UWALm5s0oU,Материнский героизм В ДИКИХ условиях 😱🌍🦁,,SUPERPUPER,[],3755521,25290.666229229275,1,37,2025-11-07T08:00:11Z,15,Pets & Animals,[],[],[],[]
