video_id,title,description,channel_title,tags_api_raw,views,views_per_hour,from_shorts,duration_sec,published_at,category_id,using_fallback,category_name,hashtags_extracted,tags_common,tags_only_api,tags_only_hash
FELwU3mvgT8,1000 IQ мув,,ПРЕМИЯ ДАРВИНА,[],4149403,47687.75080682467,1,46,2025-11-22T16:00:21Z,24,0,Entertainment,[],[],[],[]
_a1kJgE-64Q,Экономит как может #юмор #кино #shorts #фильмы,,The Series Hub,[],5504006,33501.945141769276,1,20,2025-11-19T10:43:43Z,24,0,Entertainment,"[""shorts"", ""кино"", ""юмор"", ""фильмы""]",[],[],"[""shorts"", ""кино"", ""фильмы"", ""юмор""]"
sl57iX3jcNo,Эпичная концовка. Богатый только рад заплатить штраф? #shorts #опрос #юмор,,Loyalty,[],6877386,42036.67472332977,1,20,2025-11-19T11:24:48Z,24,0,Entertainment,"[""shorts"", ""юмор"", ""опрос""]",[],[],"[""shorts"", ""опрос"", ""юмор""]"
PFRdLK-JLfQ,😴😄Когда тебя будят ВСЕ — и ничего. Но стоит зайти отцу и ты уже на ногах. #shorts #прикол #юмор,,TOKPARTY,[],5624835,49824.586443911336,1,25,2025-11-21T14:07:30Z,24,0,Entertainment,"[""прикол"", ""shorts"", ""юмор""]",[],[],"[""shorts"", ""прикол"", ""юмор""]"
kJSi-YTqmFI,Я Повторил Шаолинский Приём !🤯 #рекомендации,,Koshyl_Live,[],9520879,51719.318269789954,1,30,2025-11-18T14:55:49Z,24,0,Entertainment,"[""рекомендации""]",[],[],"[""рекомендации""]"
sczr9KA8Rnw,Школьные будни 😂 #школа #друзья,"Школьные будни – это особый мир, сотканный из расписаний, звонков, учебников, дружеского смеха и первой серьезной ответственности. Для миллионов детей и подростков по всему миру это не просто место учебы, а целая эпоха, формирующая их личности.

Как начинается день:
Дни начинаются под звон будильника, нередко ненавистный, но неизбежный. Быстрые сборы, запах завтрака, спешка, а затем дорога в школу – пешком, на автобусе, с родителями. На подходе к школе уже слышен гул голосов, видно, как собираются одноклассники, обмениваясь первыми новостями и шутками дня.

Учебный процесс:
Сама школа – это череда уроков, каждый из которых – погружение в свой мир: от математических формул до литературных анализов, от законов физики до исторических битв. Есть любимые предметы, где время летит незаметно, и те, что требуют упорства и терпения. Учителя – это не только источники знаний, но и наставники, а иногда и первые критики, которые учат справляться с трудностями.

Перемены – ""островки свободы"":
Между уроками – долгожданные перемены. Это время для того, чтобы выдохнуть, перекусить, пробежаться по коридорам, обменяться новостями с друзьями, спланировать что-то вне школы или просто помечтать, глядя в окно. Шум столовой во время обеда – отдельная симфония школьной жизни, полная смеха, разговоров и стука вилок.

После уроков:
После последнего звонка день не всегда заканчивается. Многих ждут дополнительные занятия, кружки, спортивные секции. А дома – домашнее задание, которое иногда кажется бесконечным, но является важной частью закрепления знаний.

Эмоции и впечатления:
Школьные будни – это микс эмоций: от радости первых открытий и успехов до фрустрации от непонятной темы или несправедливой, по мнению ученика, оценки. Это место, где завязываются крепкие дружеские связи, происходят первые влюбленности и разочарования. Это время, когда формируется характер, учатся взаимодействовать с разными людьми, принимать решения и нести за них ответственность.

В целом, школьные будни – это структурированная рутина, полная непредсказуемых моментов, маленьких побед и поражений, которые, шаг за шагом, строят фундамент для будущего каждого человека. Они учат не только читать и писать, но и жить, общаться, мечтать и идти к своим целям.",Эпичные кружки,[],2177820,44442.30040829559,1,24,2025-11-24T06:00:52Z,24,0,Entertainment,"[""друзья"", ""школа""]",[],[],"[""друзья"", ""школа""]"
_V-ZrOCcAKg,Закрытие любимой пивнушки...😂#юмор#приколы#шоу#shorts,"юмор
приколы
шоу
shorts",VRODE SHORTS,[],3159074,26927.436759175736,1,87,2025-11-21T09:41:59Z,24,0,Entertainment,"[""shorts"", ""приколы"", ""юмор"", ""шоу""]",[],[],"[""shorts"", ""приколы"", ""шоу"", ""юмор""]"
_3NYdz3esk4,Он просто дезинфицировал микрофон но стал звездой шоу #shorts,,Гохисыч,[],2362035,36337.92379881155,1,15,2025-11-23T14:00:57Z,24,0,Entertainment,"[""shorts""]",[],[],"[""shorts""]"
6RqV3t8TUJI,🤣Почему китайские слова могут смутить не в китайском ресторане | Зубарев #shorts,"🤣Почему китайские слова могут смутить не в китайском ресторане | Зубарев #shorts 

Все показанное на этом видео это Постановка. Не воспринимайте всерьез сказанное автором этих видео. Это просто такой Юмор и никто никого не хотел оскорбить или обидеть. Автор этих видео в реальной жизни нормальный человек с серьезной работой, который имеет право на свободу слова и выбора как и все люди на Земле. Он никого не хотел обидеть или оскорбить (просто так шутит). Он не в коем случае не посягал и не посягает не на чью свободу выбора. Никто в этих видео НЕ пострадал (не физически не морально).

👇Мои Социальные сети👇:
📱Социальные сети:
                    ✅  https://zubarefff.com

📲Сотрудничество и заказ рекламы🤑: 
                    ✅  e-mail - ad@zubarefff.com

🏪Мой Мерч (Мой Магазин):
👉Здесь выбираем что хотим: https://t.me/zubarefffshop
👉Здесь Договариваемся по поводу оплаты и Куда доставлять:   https://t.me/Shindt


😇Мои Плей листы (Тонкого юмора): 🔞

😎🤦🏼‍♂️Тонкий Юмор:  https://bit.ly/3kXCYJS
🐱🤣 Мой Кот по имени Гараж: https://bit.ly/3SXWupB
🍟🥰😍Роспакоука (тонкий Обзор еды):  https://bit.ly/3kUDjNM
🚴Роспакоука (Обзор Техники): https://bit.ly/3KZWUqa
😱😯",Зубарев,"[""приколы"", ""шутки"", ""анекдоты"", ""приколы от зубарев"", ""зубареф"", ""распаковка зубарев"", ""прикол"", ""viral videos"", ""смешные приколы"", ""видео приколы"", ""zubarefff"", ""лучшие приколы"", ""подборка приколов"", ""мемы"", ""смешные видео"", ""канал зубарев"", ""youtube shorts"", ""короткие видео"", ""вертикальное видео"", ""короткие видео ютуб"", ""юмор зубарев"", ""рекомендации"", ""приколы зубарев"", ""stand up"", ""stand up comedy"", ""комедия"", ""смех"", ""ржака до слез"", ""зубарев"", ""жиза"", ""почему китайские слова могут смутить не в китайском ресторане""]",3210994,26476.909158988685,1,30,2025-11-21T05:44:33Z,24,0,Entertainment,"[""shorts""]",[],"[""stand up"", ""stand up comedy"", ""viral videos"", ""youtube shorts"", ""zubarefff"", ""анекдоты"", ""вертикальное видео"", ""видео приколы"", ""жиза"", ""зубарев"", ""зубареф"", ""канал зубарев"", ""комедия"", ""короткие видео"", ""короткие видео ютуб"", ""лучшие приколы"", ""мемы"", ""подборка приколов"", ""почему китайские слова могут смутить не в китайском ресторане"", ""прикол"", ""приколы"", ""приколы зубарев"", ""приколы от зубарев"", ""распаковка зубарев"", ""рекомендации"", ""ржака до слез"", ""смех"", ""смешные видео"", ""смешные приколы"", ""шутки"", ""юмор зубарев""]","[""shorts""]"
5EPILL7-JRQ,Сколько на этот раз будет щелчков?,"новости, новости сегодня, новости дня, главные новости сегодня, главные новости, свежие новости, сегодняшнего дня, события дня, короче новости, странные новости, новости мира, мировые новости, ильюша новости, новостничок",Новостной Гусь,[],1372724,85712.02265132891,1,26,2025-11-25T15:00:08Z,24,0,Entertainment,[],[],[],[]
5y52Hc69fKA,"Испугалась новорожденной дочери , сериал «Акушер» новый сезон.",,Тетя Даша,[],7025054,37513.976059494205,1,38,2025-11-18T11:45:10Z,24,0,Entertainment,[],[],[],[]
7OeyPYZXrMU,"Нейросеть Илона Маска против Илона Маска: предательство, которого никто не ждал 💔","УПД пофиксили не до конца, она всё ещё даёт сбои...",i11ushenka,[],1962636,30171.071539883185,0,62,2025-11-23T13:58:03Z,24,0,Entertainment,[],[],[],[]
3AgJMd2ki-4,"Сколько Вешалок Выдержат Человека? Масленников, Егорик","Сколько Вешалок Выдержат Человека? Масленников, Егорик
Посмотри гигантскую настольную игру!",Дима Масленников  ,"[""сколько"", ""вешалок"", ""выдержат"", ""человека"", ""масленников"", ""егорик"", ""сколько вешалок"", ""вешалки"", ""челлендж"", ""дима масленников"", ""егор шкред"", ""монтажник"", ""саня монтажник"", ""short"", ""challenge"", ""how"", ""many"", ""hooks"", ""hold"", ""person"", ""how many hooks"", ""cuantos ganchos sostienen una persona"", ""cuantos"", ""ganchos"", ""sostienen"", ""una persona"", ""монтажник влог"", ""масленникова"", ""саша монтажник""]",1326119,34293.24190286869,1,44,2025-11-24T16:20:52Z,24,0,Entertainment,[],[],"[""challenge"", ""cuantos"", ""cuantos ganchos sostienen una persona"", ""ganchos"", ""hold"", ""hooks"", ""how"", ""how many hooks"", ""many"", ""person"", ""short"", ""sostienen"", ""una persona"", ""вешалки"", ""вешалок"", ""выдержат"", ""дима масленников"", ""егор шкред"", ""егорик"", ""масленников"", ""масленникова"", ""монтажник"", ""монтажник влог"", ""саня монтажник"", ""саша монтажник"", ""сколько"", ""сколько вешалок"", ""челлендж"", ""человека""]",[]
j1pYLREXZoI,Создайте такое же видео в нашем боте за 1 минуту🤣 #юмор #смехпродлеваетжизнь #прикол,,Veo 3 | Sora 2  Здесь смешно⚡,[],4950644,24451.08171022887,1,15,2025-11-17T20:32:47Z,24,0,Entertainment,"[""прикол"", ""смехпродлеваетжизнь"", ""юмор""]",[],[],"[""прикол"", ""смехпродлеваетжизнь"", ""юмор""]"
